location_slug,target_date,jam,dominant_category,confidence_score,confidence_label,sources_used,sources_expected,coverage_fraction,weight_total,temp_mean,temp_std,rh_mean,rh_std,rain_mean,rain_std,heat_index_mean,heat_index_std,gap_mean_minutes,gap_max_minutes,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat
gpm3,2026-07-08,06:00,Berawan,88.2,Tinggi,8,8,1.0,7.7485,13.91,1.04,92.2,7.11,0.16,0.34,13.91,1.04,0.0,0.0,0.0,11.0,61.9,27.1,0.0,0.0
gpm3,2026-07-08,09:00,Berawan,87.9,Tinggi,8,8,1.0,7.7485,18.34,1.92,80.47,12.1,0.11,0.28,18.34,1.92,0.0,0.0,0.0,23.5,63.6,12.9,0.0,0.0
gpm3,2026-07-08,12:00,Berawan,94.2,Tinggi,8,8,1.0,7.7485,21.78,2.32,66.37,12.26,0.0,0.0,21.78,2.32,0.0,0.0,11.0,0.0,89.0,0.0,0.0,0.0
gpm3,2026-07-08,15:00,Berawan,79.9,Sedang,8,8,1.0,7.7485,21.42,0.88,74.75,9.31,1.49,1.77,21.42,0.88,0.0,0.0,0.0,0.0,33.3,26.5,14.2,26.1
gpm3,2026-07-08,18:00,Berawan,92.2,Tinggi,8,8,1.0,7.7485,19.11,1.17,88.05,2.07,0.11,0.29,19.11,1.17,0.0,0.0,0.0,12.5,76.5,11.0,0.0,0.0
gpm3,2026-07-09,06:00,Berawan,91.9,Tinggi,8,8,1.0,7.7595,13.56,1.47,77.61,8.52,0.0,0.0,13.56,1.47,0.0,0.0,0.0,23.2,76.8,0.0,0.0,0.0
gpm3,2026-07-09,09:00,Berawan,95.3,Tinggi,8,8,1.0,7.7595,19.7,0.74,61.62,3.01,0.0,0.0,19.7,0.74,0.0,0.0,0.0,12.6,87.4,0.0,0.0,0.0
gpm3,2026-07-09,12:00,Berawan,88.3,Tinggi,8,8,1.0,7.7595,23.69,0.7,51.54,5.15,0.0,0.0,23.69,0.7,0.0,0.0,0.0,40.3,59.7,0.0,0.0,0.0
gpm3,2026-07-09,15:00,Berawan,84.5,Tinggi,8,8,1.0,7.7595,22.73,1.04,63.32,8.85,0.09,0.13,22.73,1.04,0.0,0.0,0.0,15.5,46.8,37.8,0.0,0.0
gpm3,2026-07-09,18:00,Hujan Ringan,90.0,Tinggi,8,8,1.0,7.7595,19.15,0.37,86.41,4.3,0.11,0.1,19.15,0.37,0.0,0.0,0.0,12.2,21.7,66.1,0.0,0.0
gpm4,2026-07-07,06:00,Berawan,80.5,Tinggi,7,8,0.875,6.78,13.91,1.6,98.08,1.13,0.0,0.0,13.91,1.6,0.0,0.0,26.5,14.7,58.7,0.0,0.0,0.0
gpm4,2026-07-07,09:00,Berawan,81.0,Tinggi,7,8,0.875,6.78,18.47,0.35,84.51,2.04,0.02,0.04,18.47,0.35,0.0,0.0,26.5,0.0,58.7,14.7,0.0,0.0
gpm4,2026-07-07,12:00,Hujan Ringan,77.0,Sedang,7,8,0.875,6.78,21.83,1.53,68.17,13.43,0.03,0.04,21.83,1.53,0.0,0.0,12.5,0.0,38.8,48.7,0.0,0.0
gpm4,2026-07-07,15:00,Hujan Ringan,84.5,Tinggi,8,8,1.0,7.78,20.09,0.95,85.71,8.53,2.15,2.05,20.09,0.95,0.0,0.0,0.0,0.0,8.1,52.1,14.1,25.7
gpm4,2026-07-07,18:00,Hujan Ringan,89.1,Tinggi,8,8,1.0,7.78,18.25,1.31,94.3,3.92,0.8,0.72,18.25,1.31,0.0,0.0,0.0,0.0,8.1,65.6,14.1,12.2
gpm4,2026-07-08,06:00,Berawan,88.4,Tinggi,8,8,1.0,7.7485,12.86,0.99,93.34,5.09,0.16,0.34,12.86,0.99,0.0,0.0,0.0,11.0,61.9,27.1,0.0,0.0
gpm4,2026-07-08,09:00,Berawan,91.0,Tinggi,8,8,1.0,7.7485,17.34,1.86,80.77,12.38,0.11,0.28,17.34,1.86,0.0,0.0,0.0,11.0,76.1,12.9,0.0,0.0
gpm4,2026-07-08,12:00,Berawan,94.8,Tinggi,8,8,1.0,7.7485,20.89,2.45,66.45,4.01,0.0,0.0,20.89,2.45,0.0,0.0,11.0,0.0,89.0,0.0,0.0,0.0
gpm4,2026-07-08,15:00,Berawan,84.4,Tinggi,8,8,1.0,7.7485,20.83,1.05,70.92,10.08,0.06,0.08,20.83,1.05,0.0,0.0,0.0,0.0,46.8,39.0,14.2,0.0
