location_slug,location_name,target_date,adm4,bmkg_point_name,area_level,is_proxy_bmkg,latitude,longitude,timezone,location_note,jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
gpm1,GPM1,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,12:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,90.0,Tinggi,21.2,+/-1.14,52.42,+/-8.13,0.0,+/-0.0,21.2,+/-1.14,9.3,23.0,67.7,0.0,0.0,0.0,1.14,8.13,0.0,1.14,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,15:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,83.1,Tinggi,20.17,+/-0.24,59.49,+/-8.41,0.26,+/-0.48,20.17,+/-0.24,0.0,25.7,39.8,34.5,0.0,0.0,0.24,8.41,0.48,0.24,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,18:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,81.9,Tinggi,16.94,+/-1.26,81.88,+/-9.09,0.18,+/-0.34,16.94,+/-1.26,10.4,36.7,31.5,21.4,0.0,0.0,1.26,9.09,0.34,1.26,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,06:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,83.4,Tinggi,11.76,+/-2.31,88.34,+/-6.0,0.0,+/-0.0,11.76,+/-2.31,14.8,42.2,43.0,0.0,0.0,0.0,2.31,6.0,0.0,2.31,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,09:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,87.4,Tinggi,16.73,+/-0.9,68.75,+/-3.5,0.0,+/-0.0,16.73,+/-0.9,14.8,55.3,29.9,0.0,0.0,0.0,0.9,3.5,0.0,0.9,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,12:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,83.2,Tinggi,21.49,+/-1.48,56.19,+/-7.94,0.08,+/-0.16,21.49,+/-1.48,14.8,9.3,41.4,34.5,0.0,0.0,1.48,7.94,0.16,1.48,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,15:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,84.5,Tinggi,20.75,+/-1.39,63.13,+/-9.24,0.06,+/-0.07,20.75,+/-1.39,0.0,14.8,38.7,46.5,0.0,0.0,1.39,9.24,0.07,1.39,9,1.0,0.0,0.0
gpm1,GPM1,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.81572033808049,96.877105410688,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,18:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,84.6,Tinggi,17.08,+/-1.51,86.95,+/-2.92,0.06,+/-0.08,17.08,+/-1.51,14.8,21.4,18.4,45.5,0.0,0.0,1.51,2.92,0.08,1.51,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,06:00,9,8.0725,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,83.9,Tinggi,16.6,+/-1.75,88.51,+/-8.65,0.03,+/-0.07,16.6,+/-1.75,10.5,21.7,56.0,11.8,0.0,0.0,1.75,8.65,0.07,1.75,9,1.0,33.33,180.0
gpm2,GPM2,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,09:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,92.9,Tinggi,20.05,+/-1.35,83.34,+/-5.52,0.0,+/-0.0,20.05,+/-1.35,9.3,12.0,78.6,0.0,0.0,0.0,1.35,5.52,0.0,1.35,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,12:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,85.7,Tinggi,23.04,+/-2.44,72.61,+/-7.17,0.26,+/-0.67,23.04,+/-2.44,9.3,12.0,54.5,13.1,0.0,11.0,2.44,7.17,0.67,2.44,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,15:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,81.1,Tinggi,21.32,+/-0.31,83.99,+/-4.06,0.94,+/-1.2,21.32,+/-0.31,0.0,0.0,32.6,32.9,12.0,22.5,0.31,4.06,1.2,0.31,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-08,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,18:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,87.0,Tinggi,19.74,+/-1.49,89.72,+/-4.04,0.25,+/-0.29,19.74,+/-1.49,0.0,0.0,44.1,55.9,0.0,0.0,1.49,4.04,0.29,1.49,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,06:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,87.4,Tinggi,14.31,+/-0.48,83.76,+/-8.52,0.0,+/-0.0,14.31,+/-0.48,0.0,55.9,44.1,0.0,0.0,0.0,0.48,8.52,0.0,0.48,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,09:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,87.0,Tinggi,20.93,+/-0.78,65.64,+/-7.16,0.0,+/-0.0,20.93,+/-0.78,0.0,45.5,54.5,0.0,0.0,0.0,0.78,7.16,0.0,0.78,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,12:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,92.8,Tinggi,24.72,+/-1.0,52.98,+/-8.0,0.0,+/-0.0,24.72,+/-1.0,0.0,21.4,78.6,0.0,0.0,0.0,1.0,8.0,0.0,1.0,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,15:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,84.2,Tinggi,23.68,+/-0.99,65.16,+/-12.19,0.06,+/-0.11,23.68,+/-0.99,0.0,14.8,39.8,45.5,0.0,0.0,0.99,12.19,0.11,0.99,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-09,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,18:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,83.9,Tinggi,21.09,+/-0.71,84.41,+/-5.78,0.17,+/-0.32,21.09,+/-0.71,10.4,25.7,42.5,21.4,0.0,0.0,0.71,5.78,0.32,0.71,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,06:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,83.8,Tinggi,15.28,+/-1.43,87.26,+/-6.52,0.0,+/-0.0,15.28,+/-1.43,14.8,42.2,43.0,0.0,0.0,0.0,1.43,6.52,0.0,1.43,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,09:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,87.3,Tinggi,21.0,+/-0.8,67.46,+/-5.74,0.0,+/-0.0,21.0,+/-0.8,14.8,55.3,29.9,0.0,0.0,0.0,0.8,5.74,0.0,0.8,9,1.0,0.0,0.0
gpm2,GPM2,2026-07-10,11.17.05.2002,Bale Redelong,catchment_point,yes,4.811672965065149,96.9505347134354,Asia/Jakarta,Forecast Redelong representative point. BMKG ADM4 reference: 11.17.05.2002 (Bale Redelong). Initial BMKG reference for catchment point,12:00,9,9.13,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,83.5,Tinggi,24.98,+/-1.01,56.43,+/-6.9,0.07,+/-0.13,25.14,+/-1.33,14.8,9.3,41.4,34.5,0.0,0.0,1.01,6.9,0.13,1.33,9,1.0,0.0,0.0
