date,rain_mm,temperature_mean_c,temperature_max_c,temperature_min_c,wind_speed_2m_mps,relative_humidity_2m_pct,source,observation_type
1981-04-04,6.75,23.55,25.22,22.17,1.21,93.95,NASA POWER Daily,gridded_meteorological_proxy
1981-04-05,8.44,24.43,28.05,21.45,0.72,88.33,NASA POWER Daily,gridded_meteorological_proxy
1981-04-06,2.38,24.82,28.45,22.37,0.78,86.74,NASA POWER Daily,gridded_meteorological_proxy
1981-04-07,0.59,24.35,28.13,21.78,0.71,85.11,NASA POWER Daily,gridded_meteorological_proxy
1981-04-08,1.72,24.53,28.33,21.66,0.9,87.26,NASA POWER Daily,gridded_meteorological_proxy
1981-04-09,6.63,24.71,28.74,21.98,0.8,86.39,NASA POWER Daily,gridded_meteorological_proxy
1981-04-10,8.07,24.23,28.0,21.4,0.87,86.86,NASA POWER Daily,gridded_meteorological_proxy
1981-04-11,9.49,24.24,28.65,20.99,0.84,85.93,NASA POWER Daily,gridded_meteorological_proxy
1981-04-12,1.86,24.24,28.42,21.23,0.91,85.84,NASA POWER Daily,gridded_meteorological_proxy
1981-04-13,0.01,23.47,25.95,21.84,0.99,89.82,NASA POWER Daily,gridded_meteorological_proxy
1981-04-14,0.82,23.87,27.37,21.22,1.03,87.44,NASA POWER Daily,gridded_meteorological_proxy
1981-04-15,0.44,23.35,25.73,21.86,0.9,87.95,NASA POWER Daily,gridded_meteorological_proxy
1981-04-16,1.99,23.86,27.25,21.09,0.71,84.65,NASA POWER Daily,gridded_meteorological_proxy
1981-04-17,4.65,24.36,28.39,21.85,0.87,87.65,NASA POWER Daily,gridded_meteorological_proxy
1981-04-18,2.78,24.03,27.33,21.75,1.36,88.87,NASA POWER Daily,gridded_meteorological_proxy
1981-04-19,0.17,24.47,28.49,20.97,0.98,86.62,NASA POWER Daily,gridded_meteorological_proxy
1981-04-20,0.54,24.21,26.9,22.27,0.83,89.55,NASA POWER Daily,gridded_meteorological_proxy
1981-04-21,18.66,24.17,28.0,21.05,0.56,86.3,NASA POWER Daily,gridded_meteorological_proxy
1981-04-22,56.9,23.49,25.7,21.99,0.51,90.26,NASA POWER Daily,gridded_meteorological_proxy
1981-04-23,16.58,23.64,26.64,22.11,1.0,91.98,NASA POWER Daily,gridded_meteorological_proxy
1981-04-24,9.63,23.94,27.62,21.45,0.77,87.87,NASA POWER Daily,gridded_meteorological_proxy
1981-04-25,2.92,24.05,27.86,21.29,0.81,87.1,NASA POWER Daily,gridded_meteorological_proxy
1981-04-26,0.5,24.21,27.96,21.76,0.69,87.25,NASA POWER Daily,gridded_meteorological_proxy
1981-04-27,3.53,24.12,27.75,21.39,0.54,87.33,NASA POWER Daily,gridded_meteorological_proxy
1981-04-28,2.88,24.57,28.31,22.0,0.8,87.1,NASA POWER Daily,gridded_meteorological_proxy
1981-04-29,0.24,24.4,27.59,21.97,1.19,87.94,NASA POWER Daily,gridded_meteorological_proxy
1981-04-30,0.38,24.71,28.61,21.51,0.6,86.11,NASA POWER Daily,gridded_meteorological_proxy
1981-05-01,23.97,24.22,27.39,22.2,1.05,90.03,NASA POWER Daily,gridded_meteorological_proxy
1981-05-02,24.29,24.19,27.57,21.8,1.1,89.56,NASA POWER Daily,gridded_meteorological_proxy
1981-05-03,17.5,24.29,27.49,21.99,0.82,89.93,NASA POWER Daily,gridded_meteorological_proxy
1981-05-04,4.48,23.74,25.62,22.38,0.68,89.89,NASA POWER Daily,gridded_meteorological_proxy
1981-05-05,6.8,24.07,27.98,21.3,0.64,87.59,NASA POWER Daily,gridded_meteorological_proxy
1981-05-06,11.86,23.29,25.16,21.91,0.65,92.78,NASA POWER Daily,gridded_meteorological_proxy
1981-05-07,3.97,23.74,27.16,21.55,0.69,87.41,NASA POWER Daily,gridded_meteorological_proxy
1981-05-08,0.49,24.07,27.81,21.28,0.94,86.0,NASA POWER Daily,gridded_meteorological_proxy
1981-05-09,0.56,24.05,27.65,21.41,1.32,88.48,NASA POWER Daily,gridded_meteorological_proxy
1981-05-10,0.2,24.19,27.58,21.55,1.32,89.28,NASA POWER Daily,gridded_meteorological_proxy
1981-05-11,18.76,24.04,26.81,21.93,1.34,91.3,NASA POWER Daily,gridded_meteorological_proxy
1981-05-12,15.93,23.66,26.75,21.86,1.37,90.62,NASA POWER Daily,gridded_meteorological_proxy
1981-05-13,6.76,23.66,26.6,21.22,1.07,89.84,NASA POWER Daily,gridded_meteorological_proxy
1981-05-14,13.08,23.92,26.99,21.72,1.0,90.24,NASA POWER Daily,gridded_meteorological_proxy
1981-05-15,3.21,23.94,26.87,21.81,1.31,90.28,NASA POWER Daily,gridded_meteorological_proxy
1981-05-16,20.85,24.01,27.56,21.54,1.32,89.44,NASA POWER Daily,gridded_meteorological_proxy
1981-05-17,8.15,24.05,27.62,21.18,1.17,90.08,NASA POWER Daily,gridded_meteorological_proxy
1981-05-18,15.52,24.26,27.55,22.14,1.21,90.27,NASA POWER Daily,gridded_meteorological_proxy
1981-05-19,12.14,24.2,27.43,21.92,1.11,90.17,NASA POWER Daily,gridded_meteorological_proxy
1981-05-20,33.52,24.21,27.53,22.27,1.13,91.15,NASA POWER Daily,gridded_meteorological_proxy
1981-05-21,20.2,24.19,27.57,21.6,1.06,90.35,NASA POWER Daily,gridded_meteorological_proxy
1981-05-22,8.39,23.73,26.04,21.94,1.26,93.17,NASA POWER Daily,gridded_meteorological_proxy
1981-05-23,0.04,24.15,27.06,22.27,0.81,88.53,NASA POWER Daily,gridded_meteorological_proxy
1981-05-24,2.16,24.12,27.44,22.05,0.95,89.7,NASA POWER Daily,gridded_meteorological_proxy
1981-05-25,0.69,23.8,26.89,21.7,0.92,89.77,NASA POWER Daily,gridded_meteorological_proxy
1981-05-26,0.91,23.78,26.36,21.81,1.09,91.46,NASA POWER Daily,gridded_meteorological_proxy
1981-05-27,0.23,24.24,27.75,21.72,1.03,88.49,NASA POWER Daily,gridded_meteorological_proxy
1981-05-28,51.86,24.18,27.55,21.18,1.13,89.28,NASA POWER Daily,gridded_meteorological_proxy
1981-05-29,2.5,23.55,26.22,21.99,1.34,88.93,NASA POWER Daily,gridded_meteorological_proxy
1981-05-30,2.77,23.93,27.79,21.03,0.92,86.7,NASA POWER Daily,gridded_meteorological_proxy
1981-05-31,0.8,23.95,27.98,20.81,0.84,85.9,NASA POWER Daily,gridded_meteorological_proxy
1981-06-01,1.22,24.16,27.96,21.11,0.61,83.94,NASA POWER Daily,gridded_meteorological_proxy
1981-06-02,1.69,24.34,28.13,21.4,0.56,86.35,NASA POWER Daily,gridded_meteorological_proxy
1981-06-03,0.02,24.11,27.48,21.88,0.52,87.56,NASA POWER Daily,gridded_meteorological_proxy
1981-06-04,0.01,24.23,28.13,21.24,0.68,86.41,NASA POWER Daily,gridded_meteorological_proxy
1981-06-05,0.02,24.09,27.82,21.15,0.78,87.51,NASA POWER Daily,gridded_meteorological_proxy
1981-06-06,0.19,24.3,27.9,21.63,0.57,84.08,NASA POWER Daily,gridded_meteorological_proxy
1981-06-07,0.11,24.08,27.49,21.26,1.1,88.36,NASA POWER Daily,gridded_meteorological_proxy
1981-06-08,0.04,23.99,27.09,21.94,1.28,88.17,NASA POWER Daily,gridded_meteorological_proxy
1981-06-09,10.07,23.35,26.85,20.78,0.81,87.6,NASA POWER Daily,gridded_meteorological_proxy
1981-06-10,5.21,23.47,27.1,20.87,0.71,88.83,NASA POWER Daily,gridded_meteorological_proxy
1981-06-11,0.0,23.42,26.07,21.37,0.84,89.74,NASA POWER Daily,gridded_meteorological_proxy
1981-06-12,1.42,24.06,27.52,21.02,0.79,87.35,NASA POWER Daily,gridded_meteorological_proxy
1981-06-13,11.73,23.89,26.22,22.55,1.3,92.53,NASA POWER Daily,gridded_meteorological_proxy
1981-06-14,3.14,23.24,25.08,22.13,0.9,91.62,NASA POWER Daily,gridded_meteorological_proxy
1981-06-15,0.62,23.98,27.69,21.45,0.44,85.76,NASA POWER Daily,gridded_meteorological_proxy
1981-06-16,3.71,23.81,26.98,21.53,0.86,89.47,NASA POWER Daily,gridded_meteorological_proxy
1981-06-17,5.3,23.41,25.81,21.42,1.33,91.62,NASA POWER Daily,gridded_meteorological_proxy
1981-06-18,28.5,23.42,25.78,21.55,0.5,89.03,NASA POWER Daily,gridded_meteorological_proxy
1981-06-19,5.92,22.9,25.2,20.99,0.68,89.81,NASA POWER Daily,gridded_meteorological_proxy
1981-06-20,0.04,21.91,24.17,20.09,0.73,86.02,NASA POWER Daily,gridded_meteorological_proxy
1981-06-21,0.0,22.11,25.81,18.77,0.92,77.59,NASA POWER Daily,gridded_meteorological_proxy
1981-06-22,0.0,23.29,26.97,19.69,0.57,78.8,NASA POWER Daily,gridded_meteorological_proxy
1981-06-23,0.73,23.68,27.33,20.66,0.49,82.32,NASA POWER Daily,gridded_meteorological_proxy
1981-06-24,0.13,23.47,26.62,21.02,0.49,87.43,NASA POWER Daily,gridded_meteorological_proxy
1981-06-25,1.86,23.11,26.47,20.81,0.93,89.62,NASA POWER Daily,gridded_meteorological_proxy
1981-06-26,0.05,22.59,25.72,20.35,0.81,85.9,NASA POWER Daily,gridded_meteorological_proxy
1981-06-27,0.09,23.08,27.28,19.64,0.76,85.27,NASA POWER Daily,gridded_meteorological_proxy
1981-06-28,0.14,23.41,27.55,20.04,0.77,85.59,NASA POWER Daily,gridded_meteorological_proxy
1981-06-29,3.12,22.87,25.91,21.02,0.85,88.61,NASA POWER Daily,gridded_meteorological_proxy
1981-06-30,1.83,22.99,27.02,19.75,0.78,85.45,NASA POWER Daily,gridded_meteorological_proxy
1981-07-01,1.19,23.4,27.35,20.38,0.85,86.95,NASA POWER Daily,gridded_meteorological_proxy
1981-07-02,11.84,23.3,26.97,20.72,1.05,89.39,NASA POWER Daily,gridded_meteorological_proxy
1981-07-03,5.43,23.46,26.92,20.79,1.21,88.94,NASA POWER Daily,gridded_meteorological_proxy
1981-07-04,1.04,23.34,26.59,21.16,1.28,88.78,NASA POWER Daily,gridded_meteorological_proxy
1981-07-05,1.22,23.05,26.83,20.14,1.12,88.37,NASA POWER Daily,gridded_meteorological_proxy
1981-07-06,0.56,23.08,26.65,20.2,0.94,88.43,NASA POWER Daily,gridded_meteorological_proxy
1981-07-07,0.6,22.95,26.36,20.71,0.95,88.4,NASA POWER Daily,gridded_meteorological_proxy
1981-07-08,0.51,22.6,26.29,19.66,0.86,85.65,NASA POWER Daily,gridded_meteorological_proxy
1981-07-09,0.54,23.41,27.44,20.17,1.21,87.83,NASA POWER Daily,gridded_meteorological_proxy
